La tarea 28, el trabajador 6, el horario 1, el dia 5, rango salarial 0: 1.0
La tarea 129, el trabajador 6, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 129, el trabajador 6, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 129, el trabajador 7, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 157, el trabajador 0, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 157, el trabajador 2, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 157, el trabajador 3, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 157, el trabajador 3, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 161, el trabajador 3, el horario 4, el dia 4, rango salarial 1: 1.0
La tarea 161, el trabajador 5, el horario 4, el dia 4, rango salarial 1: 1.0
La tarea 161, el trabajador 6, el horario 4, el dia 4, rango salarial 0: 1.0
La tarea 161, el trabajador 6, el horario 4, el dia 4, rango salarial 3: 1.0
La tarea 169, el trabajador 0, el horario 4, el dia 3, rango salarial 0: 1.0
La tarea 169, el trabajador 2, el horario 4, el dia 3, rango salarial 3: 1.0
La tarea 169, el trabajador 8, el horario 4, el dia 3, rango salarial 1: 1.0
La tarea 171, el trabajador 1, el horario 0, el dia 4, rango salarial 0: 1.0
La tarea 171, el trabajador 6, el horario 0, el dia 4, rango salarial 0: 1.0
La tarea 171, el trabajador 7, el horario 0, el dia 4, rango salarial 0: 1.0
La tarea 171, el trabajador 8, el horario 0, el dia 4, rango salarial 1: 1.0
La tarea 185, el trabajador 2, el horario 1, el dia 0, rango salarial 0: 1.0
La tarea 185, el trabajador 3, el horario 1, el dia 0, rango salarial 1: 1.0
La tarea 185, el trabajador 4, el horario 1, el dia 0, rango salarial 0: 1.0
La tarea 198, el trabajador 5, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 198, el trabajador 6, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 198, el trabajador 7, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 198, el trabajador 8, el horario 0, el dia 0, rango salarial 3: 1.0
La tarea 201, el trabajador 4, el horario 1, el dia 3, rango salarial 2: 1.0
La tarea 201, el trabajador 6, el horario 1, el dia 3, rango salarial 2: 1.0
La tarea 201, el trabajador 7, el horario 1, el dia 3, rango salarial 2: 1.0
La tarea 214, el trabajador 0, el horario 0, el dia 4, rango salarial 0: 1.0
La tarea 214, el trabajador 2, el horario 0, el dia 4, rango salarial 0: 1.0
La tarea 214, el trabajador 5, el horario 0, el dia 4, rango salarial 1: 1.0
La tarea 214, el trabajador 5, el horario 0, el dia 4, rango salarial 2: 1.0
La tarea 222, el trabajador 1, el horario 0, el dia 3, rango salarial 2: 1.0
La tarea 222, el trabajador 7, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 222, el trabajador 8, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 236, el trabajador 0, el horario 1, el dia 2, rango salarial 0: 1.0
La tarea 236, el trabajador 0, el horario 1, el dia 2, rango salarial 1: 1.0
La tarea 236, el trabajador 1, el horario 1, el dia 2, rango salarial 0: 1.0
La tarea 236, el trabajador 7, el horario 1, el dia 2, rango salarial 1: 1.0
La tarea 237, el trabajador 1, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 237, el trabajador 7, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 237, el trabajador 9, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 241, el trabajador 1, el horario 4, el dia 1, rango salarial 2: 1.0
La tarea 241, el trabajador 3, el horario 4, el dia 1, rango salarial 0: 1.0
La tarea 241, el trabajador 4, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 249, el trabajador 6, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 249, el trabajador 6, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 249, el trabajador 7, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 272, el trabajador 2, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 272, el trabajador 4, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 272, el trabajador 6, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 272, el trabajador 9, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 275, el trabajador 4, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 275, el trabajador 6, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 275, el trabajador 8, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 282, el trabajador 0, el horario 0, el dia 3, rango salarial 2: 1.0
La tarea 282, el trabajador 7, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 282, el trabajador 9, el horario 0, el dia 3, rango salarial 0: 1.0
La tarea 288, el trabajador 0, el horario 1, el dia 0, rango salarial 3: 1.0
La tarea 288, el trabajador 4, el horario 1, el dia 0, rango salarial 0: 1.0
La tarea 288, el trabajador 6, el horario 1, el dia 0, rango salarial 1: 1.0
La tarea 288, el trabajador 7, el horario 1, el dia 0, rango salarial 3: 1.0
La tarea 301, el trabajador 0, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 301, el trabajador 1, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 301, el trabajador 8, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 317, el trabajador 2, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 317, el trabajador 5, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 317, el trabajador 5, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 317, el trabajador 9, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 330, el trabajador 0, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 330, el trabajador 1, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 330, el trabajador 5, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 330, el trabajador 8, el horario 0, el dia 1, rango salarial 2: 1.0
La tarea 368, el trabajador 4, el horario 1, el dia 3, rango salarial 3: 1.0
La tarea 368, el trabajador 5, el horario 1, el dia 3, rango salarial 1: 1.0
La tarea 368, el trabajador 8, el horario 1, el dia 3, rango salarial 1: 1.0
La tarea 382, el trabajador 1, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 382, el trabajador 2, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 382, el trabajador 5, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 387, el trabajador 0, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 387, el trabajador 2, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 387, el trabajador 6, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 399, el trabajador 0, el horario 3, el dia 2, rango salarial 1: 1.0
La tarea 399, el trabajador 1, el horario 3, el dia 2, rango salarial 0: 1.0
La tarea 399, el trabajador 4, el horario 3, el dia 2, rango salarial 0: 1.0
La tarea 399, el trabajador 7, el horario 3, el dia 2, rango salarial 2: 1.0
La tarea 416, el trabajador 3, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 416, el trabajador 4, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 416, el trabajador 5, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 416, el trabajador 7, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 419, el trabajador 1, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 419, el trabajador 4, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 419, el trabajador 6, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 438, el trabajador 1, el horario 2, el dia 4, rango salarial 1: 1.0
La tarea 438, el trabajador 5, el horario 2, el dia 4, rango salarial 3: 1.0
La tarea 438, el trabajador 8, el horario 2, el dia 4, rango salarial 2: 1.0
La tarea 441, el trabajador 0, el horario 3, el dia 4, rango salarial 0: 1.0
La tarea 441, el trabajador 0, el horario 3, el dia 4, rango salarial 2: 1.0
La tarea 441, el trabajador 2, el horario 3, el dia 4, rango salarial 1: 1.0
La tarea 441, el trabajador 6, el horario 3, el dia 4, rango salarial 0: 1.0
La tarea 447, el trabajador 0, el horario 4, el dia 5, rango salarial 1: 1.0
La tarea 447, el trabajador 4, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 447, el trabajador 5, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 450, el trabajador 2, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 450, el trabajador 3, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 450, el trabajador 8, el horario 4, el dia 2, rango salarial 0: 1.0
La tarea 450, el trabajador 9, el horario 4, el dia 2, rango salarial 1: 1.0
La tarea 464, el trabajador 1, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 464, el trabajador 1, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 464, el trabajador 3, el horario 0, el dia 0, rango salarial 3: 1.0
La tarea 464, el trabajador 4, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 464, el trabajador 7, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 468, el trabajador 1, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 468, el trabajador 2, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 468, el trabajador 5, el horario 0, el dia 0, rango salarial 1: 1.0
