La tarea 177, el trabajador 1, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 177, el trabajador 8, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 177, el trabajador 16, el horario 0, el dia 3, rango salarial 0: 1.0
La tarea 177, el trabajador 24, el horario 0, el dia 3, rango salarial 1: 1.0
La tarea 177, el trabajador 27, el horario 0, el dia 3, rango salarial 0: 1.0
La tarea 178, el trabajador 10, el horario 2, el dia 4, rango salarial 0: 1.0
La tarea 178, el trabajador 11, el horario 2, el dia 4, rango salarial 1: 1.0
La tarea 178, el trabajador 16, el horario 2, el dia 4, rango salarial 1: 1.0
La tarea 178, el trabajador 20, el horario 2, el dia 4, rango salarial 2: 1.0
La tarea 178, el trabajador 31, el horario 2, el dia 4, rango salarial 2: 1.0
La tarea 178, el trabajador 35, el horario 2, el dia 4, rango salarial 1: 1.0
La tarea 178, el trabajador 37, el horario 2, el dia 4, rango salarial 1: 1.0
La tarea 178, el trabajador 41, el horario 2, el dia 4, rango salarial 0: 1.0
La tarea 178, el trabajador 42, el horario 2, el dia 4, rango salarial 0: 1.0
La tarea 178, el trabajador 48, el horario 2, el dia 4, rango salarial 2: 1.0
La tarea 179, el trabajador 11, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 179, el trabajador 13, el horario 4, el dia 1, rango salarial 2: 1.0
La tarea 179, el trabajador 30, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 179, el trabajador 34, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 179, el trabajador 35, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 179, el trabajador 35, el horario 4, el dia 1, rango salarial 2: 1.0
La tarea 179, el trabajador 42, el horario 4, el dia 1, rango salarial 0: 1.0
La tarea 179, el trabajador 44, el horario 4, el dia 1, rango salarial 3: 1.0
La tarea 179, el trabajador 49, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 180, el trabajador 9, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 180, el trabajador 10, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 180, el trabajador 35, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 180, el trabajador 40, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 180, el trabajador 45, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 180, el trabajador 49, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 181, el trabajador 8, el horario 4, el dia 0, rango salarial 2: 1.0
La tarea 181, el trabajador 15, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 181, el trabajador 39, el horario 4, el dia 0, rango salarial 0: 1.0
La tarea 181, el trabajador 42, el horario 4, el dia 0, rango salarial 1: 1.0
La tarea 182, el trabajador 4, el horario 4, el dia 4, rango salarial 1: 1.0
La tarea 182, el trabajador 15, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 182, el trabajador 22, el horario 4, el dia 4, rango salarial 2: 1.0
La tarea 182, el trabajador 39, el horario 4, el dia 4, rango salarial 0: 1.0
La tarea 182, el trabajador 44, el horario 4, el dia 4, rango salarial 1: 1.0
La tarea 183, el trabajador 4, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 183, el trabajador 5, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 183, el trabajador 16, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 183, el trabajador 21, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 183, el trabajador 32, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 183, el trabajador 38, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 183, el trabajador 42, el horario 0, el dia 0, rango salarial 2: 1.0
La tarea 184, el trabajador 0, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 184, el trabajador 4, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 184, el trabajador 6, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 184, el trabajador 9, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 184, el trabajador 11, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 184, el trabajador 12, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 184, el trabajador 14, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 184, el trabajador 21, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 184, el trabajador 23, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 184, el trabajador 25, el horario 0, el dia 1, rango salarial 0: 1.0
La tarea 184, el trabajador 36, el horario 0, el dia 1, rango salarial 1: 1.0
La tarea 186, el trabajador 11, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 186, el trabajador 22, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 186, el trabajador 26, el horario 4, el dia 5, rango salarial 0: 1.0
La tarea 186, el trabajador 39, el horario 4, el dia 5, rango salarial 2: 1.0
La tarea 187, el trabajador 28, el horario 1, el dia 5, rango salarial 1: 1.0
La tarea 187, el trabajador 30, el horario 1, el dia 5, rango salarial 3: 1.0
La tarea 187, el trabajador 41, el horario 1, el dia 5, rango salarial 2: 1.0
La tarea 188, el trabajador 20, el horario 0, el dia 0, rango salarial 0: 1.0
La tarea 188, el trabajador 26, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 188, el trabajador 40, el horario 0, el dia 0, rango salarial 1: 1.0
La tarea 191, el trabajador 1, el horario 1, el dia 1, rango salarial 0: 1.0
La tarea 191, el trabajador 22, el horario 1, el dia 1, rango salarial 1: 1.0
La tarea 191, el trabajador 34, el horario 1, el dia 1, rango salarial 0: 1.0
La tarea 191, el trabajador 36, el horario 1, el dia 1, rango salarial 0: 1.0
La tarea 191, el trabajador 38, el horario 1, el dia 1, rango salarial 3: 1.0
La tarea 191, el trabajador 39, el horario 1, el dia 1, rango salarial 2: 1.0
La tarea 191, el trabajador 41, el horario 1, el dia 1, rango salarial 2: 1.0
La tarea 191, el trabajador 48, el horario 1, el dia 1, rango salarial 0: 1.0
La tarea 194, el trabajador 13, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 194, el trabajador 15, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 194, el trabajador 17, el horario 4, el dia 1, rango salarial 0: 1.0
La tarea 194, el trabajador 17, el horario 4, el dia 1, rango salarial 2: 1.0
La tarea 194, el trabajador 25, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 194, el trabajador 27, el horario 4, el dia 1, rango salarial 2: 1.0
La tarea 194, el trabajador 34, el horario 4, el dia 1, rango salarial 1: 1.0
La tarea 194, el trabajador 44, el horario 4, el dia 1, rango salarial 2: 1.0
La tarea 195, el trabajador 8, el horario 3, el dia 5, rango salarial 0: 1.0
La tarea 195, el trabajador 25, el horario 3, el dia 5, rango salarial 1: 1.0
La tarea 195, el trabajador 41, el horario 3, el dia 5, rango salarial 0: 1.0
La tarea 195, el trabajador 43, el horario 3, el dia 5, rango salarial 1: 1.0
La tarea 196, el trabajador 5, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 196, el trabajador 7, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 196, el trabajador 9, el horario 0, el dia 2, rango salarial 1: 1.0
La tarea 196, el trabajador 18, el horario 0, el dia 2, rango salarial 2: 1.0
La tarea 196, el trabajador 47, el horario 0, el dia 2, rango salarial 0: 1.0
La tarea 196, el trabajador 48, el horario 0, el dia 2, rango salarial 0: 1.0
